Id;From-User;To-User;Text
1659427412034359298;/DF - Baca Likes teratas untuk kirim menfess;;/tanya di grab biasanya ada diskon pejuang ovo itu, ada yang tau kode nya apa? tadi sebelum isi ovo ada, pas udah top up malah ilang
1659416488946827264;Grab Indonesia;acilday;@acilday Tenang kak, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659416416074989568;Grab Indonesia;kantongtipis0;@kantongtipis0 Tenang kak, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659416331840798720;Grab Indonesia;mozjito;@mozjito Tenang kak, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659415839689572353;Grab Indonesia;7isdream;@7isdream Tenang kak, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659415584646504453;Grab Indonesia;IceMatchaaa10;@IceMatchaaa10 Makin seru dan pastinya hemat kalo mau makan bareng tetangga kosan, pesen GrabFood trus pake fitur Group Order aja Kak?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Mawar https://t.co/8Zxmd95Xyu
1659411628826451971;Grab Indonesia;cnehlebom;@cnehlebom Kalo mau makan bareng yg pastinya bikin hemat, pesen GrabFood trus pake fitur Group Order aja  ?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Mawar https://t.co/8Zxmd95Xyu
1659405412058402818;pita.;dolceylatte;@dolceylatte tapi gacoan mah emang selalu dapet diskon dari grab sih wkwkwkwk tapi yaaa lumayan
1659403823159582720;pita.;dolceylatte;@dolceylatte beli yuk ada diskon di grab??
1659376448824832001;akun andromu;;15 Kumpulan Kode Promo Grab Akhir Pekan Minggu Kedua Mei 2023, Ada Banyak Diskon GrabFood GrabCar dan GrabBike - Dicintai https://t.co/WqHgrxdo9I
1659351683472982016;InBengkulu;;15 Kumpulan Kode Promo Grab Akhir Pekan Minggu Kedua Mei 2023, Ada Banyak Diskon GrabFood GrabCar dan GrabBike - Dicintai https://t.co/OBtTf6RFKy
1659327986850746369;???? ? ???K??;;"RT @BlueBMarket: Anyeong ARMY! ???
Kita lagi open PO lanyard MURCE BANGET buat August D in Jakarta lohh! ??

??Khusus PO kita kasih diskon ja…"
1659191649678036999;Ti.;;jadi kangen promo grab 2018, 8 cheese burger bk cuma 75 ribu trus ada diskon lagi jdi cuma 50an rb ????
1659175478270509056;????? ?????? ???????;;RT @bittercaffeines: Domino’$ pizza drama bgt jir masa gabisa mesen lewat grab. Giliran pake app lgsg dibikinin. Mentang2 grab ada voucher…
1659151072425050113;dori;hokubuu;@hokubuu aku grab jarang karena ga pernah dapet voucher diskon nangis beda 4ribu kalo ke sopi ghojek sama sopi masi muraham sopi cuman gitu misal bissa 35 jadi 49 [totalan beli bulan lalu sama sekarang]
